"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "CSS", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\services\initial.service.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 6, 14, 69
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\services\stencil.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\services\stencil.service.ts", "TypeScript", 0, 0, 0, 352, 0, 0, 0, 0, 1, 6, 359
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\shapes\shapes.ts", "TypeScript", 0, 0, 0, 266, 0, 0, 0, 0, 1, 10, 277
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\chat.service.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\diagrammer.service.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 7, 20, 109
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\firebase.config.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\home.service.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 0, 3, 13, 110
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\users.service.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 1, 6, 44
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\websocket.service.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 6, 8, 43
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\heavy-loaders\heavy-loaders-fast.component.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\heavy-loaders\heavy-loaders-slow.component.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\heavy-loaders\user-loader.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\side-menu\side-menu.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\side-menu\side-menu.component.html", "HTML", 0, 0, 0, 0, 0, 0, 44, 0, 14, 2, 60
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\side-menu\side-menu.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 26
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\side-menu\side-menu.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\title\title.component.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\SVG1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\fb.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\ig.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\p1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
